artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Saving Abel;Addicted;222826;2008;138.018;rock, metal;0.864;7;-4.146
Sia;Chandelier;216120;2014;117.089;pop;0.787;1;-2.88
Delta Goodrem;Lost Without You;248546;2003;146.301;pop;0.747;7;-6.682
Lil Baby;Yes Indeed;142273;2018;119.957;hip hop;0.346;5;-9.309
Eminem;When I'm Gone;281320;2005;75.272;hip hop;0.746;10;-5.476
Chris Brown;Yo (Excuse Me Miss);229040;2005;86.768;hip hop, pop, R&B;0.612;4;-5.847
Fall Out Boy;Dance, Dance;180266;2005;114.452;rock;0.961;11;-3.198
Kygo;Firestone;271640;2016;113.927;pop, Dance/Electronic;0.634;11;-7.374
Mariah Carey;Thank God I Found You (feat. Joe & 98°);257360;1999;129.297;pop, R&B;0.532;10;-5.882
Lil Wayne;Got Money;244626;2008;82.48;hip hop, pop;0.661;7;-4.847
Sisqo;Thong Song;253733;1999;121.549;hip hop, pop, R&B;0.888;2;-6.959
JoJo;Too Little Too Late;223680;2006;83.001;hip hop, pop, R&B;0.823;6;-5.338
Missy Elliott;4 My People (feat. Eve);289373;2001;121.392;hip hop, pop, R&B;0.701;1;-7.503
Mike Posner;I Took A Pill In Ibiza - Seeb Remix;197933;2016;101.969;hip hop, pop, Dance/Electronic;0.714;7;-6.645
Lil Peep;Save That Shit;231546;2017;105.997;hip hop;0.583;2;-8.672
Simply Red;Sunrise;199040;2008;105.987;rock, R&B, Folk/Acoustic, pop;0.733;5;-5.123
The Red Jumpsuit Apparatus;Face Down;192000;2006;92.956;pop;0.932;7;-2.189
Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;268863;1999;129.962;pop;0.958;7;-9.664
Sebastian Ingrosso;Reload - Radio Edit;221272;2013;128.045;pop, Dance/Electronic;0.724;9;-4.633
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain);234453;2011;128.024;hip hop, pop, latin;0.912;10;-3.428
Lady Gaga;Bad Romance;294573;2009;119.001;pop;0.921;0;-3.755
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];212360;2012;119.012;pop;0.676;3;-6.366
No Doubt;Hella Good;242586;2001;115.142;rock, pop;0.665;8;-3.954
Beyoncé;Sweet Dreams;208066;2008;121.949;pop, R&B;0.825;1;-5.986
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466;2019;195.685;pop;0.643;9;-7.486
Snoop Dogg;Drop It Like It's Hot;266066;2004;92.063;hip hop, pop;0.628;1;-3.832
Black Eyed Peas;Don't Lie;219000;2005;89.885;hip hop, pop;0.785;9;-5.299
The Weeknd;I Feel It Coming;269186;2016;92.987;pop, R&B;0.819;0;-5.946
All Saints;Pure Shores;268746;2000;100.618;pop;0.664;6;-9.197
Emeli Sandé;Read All About It, Pt. III;283706;2012;98.082;pop, R&B;0.44;2;-7.186
Green Day;21 Guns;321093;2009;159.779;rock;0.742;5;-4.939
Toby Keith;As Good As I Once Was;227840;2005;119.075;country;0.87;5;-4.461
Big Shaq;Man's Not Hot;186026;2017;135.048;pop, Dance/Electronic;0.884;0;-4.076
B2K;Uh Huh;223293;2002;99.699;hip hop, pop, R&B;0.681;2;-4.955
